Data-Locale,UUID,OrgID,SapPublicKey,Partner role,Billing,Shipping,Unloading,Contact,AdrBook,Company Name,Street,Number,Postal Code,City,Country
,8800000001,8000001000,8000001000|8800000001|KNA1|RE,RE,true,false,false,false,true,Feuerwehrbedarf Europa GmbH,Blaulichtweg,22,50667,Köln,DE
,8800000002,8000001000,8000001000|8800000002|KNA1|WE,WE,false,true,false,false,true,Feuerwehrbedarf Europa GmbH,Blaulichtweg,22,50667,Köln,DE
,8800000003,8000002000,8000002000|8800000003|KNA1|RE,RE,true,false,false,false,true,Royal Fire Brigade Supplies Ltd.,Rescue Street,15,M15AA,Manchester,GB
,8800000004,8000002000,8000002000|8800000004|KNA1|WE,WE,false,true,false,false,true,Royal Fire Brigade Supplies Ltd.,Rescue Street,15,M15AA,Manchester,GB
,8800000005,8000003000,8000003000|8800000005|KNA1|RE,RE,true,false,false,false,true,American Rescue Supplies Inc.,Rescue Avenue,101,10001,New York,US
,8800000006,8000003000,8000003000|8800000006|KNA1|WE,WE,false,true,false,false,true,American Rescue Supplies Inc.,Rescue Avenue,101,10001,New York,US
,8800000007,8000004000,8000004000|8800000007|KNA1|RE,RE,true,false,false,false,true,Shanghai Industrial Fluids Co.,Huangpu Road,56,200000,Shanghai,CN
,8800000008,8000004000,8000004000|8800000008|KNA1|WE,WE,false,true,false,false,true,Shanghai Industrial Fluids Co.,Huangpu Road,56,200000,Shanghai,CN
,8800000009,8100001000,8100001000|8800000009|KNA1|RE,RE,true,false,false,false,true,Nordwasserwerke GmbH,Am Flussufer,12,20095,Hamburg,DE
,8800000010,8100001000,8100001000|8800000010|KNA1|WE,WE,false,true,false,false,true,Nordwasserwerke GmbH,Am Flussufer,12,20095,Hamburg,DE
,8800000011,8100001001,8100001001|8800000011|KNA1|RE,RE,true,false,false,false,true,Nordwasserwerke GmbH (Nord),Norduferstraße,10,20097,Hamburg,DE
,8800000012,8100001001,8100001001|8800000012|KNA1|WE,WE,false,true,false,false,true,Nordwasserwerke GmbH (Nord),Norduferstraße,10,20097,Hamburg,DE
,8800000013,8100001001,8100001001|8800000013|KNA1|WE,WE,false,true,false,false,true,Nordwasserwerke GmbH (Nord) Warenausgang 2,Peutestraße,44,20539,Hamburg,DE
,8800000014,8100001002,8100001002|8800000014|KNA1|RE,RE,true,false,false,false,true,Nordwasserwerke GmbH (Süd),Südallee,3,80339,München,DE
,8800000015,8100001002,8100001002|8800000015|KNA1|WE,WE,false,true,false,false,true,Nordwasserwerke GmbH (Süd),Südallee,3,80339,München,DE
,8800000016,8100001003,8100001003|8800000016|KNA1|RE,RE,true,false,false,false,true,Nordwasserwerke GmbH (West),Weststraße,45,40210,Düsseldorf,DE
,8800000017,8100001003,8100001003|8800000017|KNA1|WE,WE,false,true,false,false,true,Nordwasserwerke GmbH (West),Weststraße,45,40210,Düsseldorf,DE
