Data-Locale,Customer,Parent,Name,Market,SAPPublicKey,Partner Role,Street,Number,Postal Code,City,Country
,8000001000,,Feuerwehrbedarf Europa GmbH,DE,8000001000|8000001000|KNA1|DE,DE,Blaulichtweg,22,50667,Köln,DE
,8000002000,,Royal Fire Brigade Supplies Ltd.,GB,8000002000|8000002000|KNA1|DE,DE,Rescue Street,15,M15AA,Manchester,GB
,8000003000,,American Rescue Supplies Inc.,US,8000003000|8000003000|KNA1|DE,DE,Rescue Avenue,101,10001,New York,US
,8000004000,,Shanghai Industrial Fluids Co.,CN,8000004000|8000004000|KNA1|DE,DE,Huangpu Road,56,200000,Shanghai,CN
,8100001000,,Nordwasserwerke GmbH,DE,8100001000|8100001000|KNA1|DE,DE,Am Flussufer,12,20095,Hamburg,DE
,8100001001,8100001000,Nordwasserwerke GmbH (Nord),DE,8100001001|8100001001|KNA1|DE,DE,Norduferstraße,10,20097,Hamburg,DE
,8100001002,8100001000,Nordwasserwerke GmbH (Süd),DE,8100001002|8100001002|KNA1|DE,DE,Südallee,3,80339,München,DE
,8100001003,8100001000,Nordwasserwerke GmbH (West),DE,8100001003|8100001003|KNA1|DE,DE,Weststraße,45,40210,Düsseldorf,DE
,8100002000,,Südliche Pumpendienste AG,DE,8100002000|8100002000|KNA1|DE,DE,Pumpenstraße,7,80331,München,DE
,8100002001,8100002000,Südliche Pumpendienste AG (Nord),DE,8100002001|8100002001|KNA1|DE,DE,Nordring,22,70173,Stuttgart,DE
,8100002002,8100002000,Südliche Pumpendienste AG (Süd),DE,8100002002|8100002002|KNA1|DE,DE,Südstraße,8,94032,Passau,DE
,8100002003,8100002000,Südliche Pumpendienste AG (West),DE,8100002003|8100002003|KNA1|DE,DE,Westuferweg,14,60311,Frankfurt,DE
,8100003000,,Westkraft Kläranlagen GmbH,DE,8100003000|8100003000|KNA1|DE,DE,Industrieweg,88,44137,Dortmund,DE
,8100003001,8100003000,Westkraft Kläranlagen GmbH (Nord),DE,8100003001|8100003001|KNA1|DE,DE,Nordhafenweg,99,24103,Kiel,DE
,8100003002,8100003000,Westkraft Kläranlagen GmbH (Süd),DE,8100003002|8100003002|KNA1|DE,DE,Südtorplatz,7,89073,Ulm,DE
,8100003003,8100003000,Westkraft Kläranlagen GmbH (West),DE,8100003003|8100003003|KNA1|DE,DE,Westallee,21,45127,Essen,DE
,8200001000,,Europäische Klärwerke AG,,8200001000|8200001000|KNA1|DE,DE,Wasserstraße,5,10117,Berlin,DE
,8200001001,8200001000,Europäische Klärwerke AG (Deutschland),DE,8200001001|8200001001|KNA1|DE,DE,Wasserstraße,5,10117,Berlin,DE
,8200001002,8200001000,Europäische Klärwerke AG (Spanien),ES,8200001002|8200001002|KNA1|DE,DE,Calle del Agua,12,28010,Madrid,ES
,8200001003,8200001000,Europäische Klärwerke AG (Großbritannien),GB,8200001003|8200001003|KNA1|DE,DE,River Lane,33,SW1P1AA,London,GB
,8200002000,,Agua Limpia S.A.,,8200002000|8200002000|KNA1|DE,DE,Calle del Río,33,28013,Madrid,ES
,8200002001,8200002000,Agua Limpia S.A. (Deutschland),DE,8200002001|8200002001|KNA1|DE,DE,Bachstraße,19,50667,Köln,DE
,8200002002,8200002000,Agua Limpia S.A. (Spanien),ES,8200002002|8200002002|KNA1|DE,DE,Calle del Río,33,28013,Madrid,ES
,8200002003,8200002000,Agua Limpia S.A. (Großbritannien),GB,8200002003|8200002003|KNA1|DE,DE,River Street,11,M15AB,Manchester,GB
,8200003000,,British Waterworks Ltd.,,8200003000|8200003000|KNA1|DE,DE,River Road,9,SW1A1AA,London,GB
,8200003001,8200003000,British Waterworks Ltd. (Deutschland),DE,8200003001|8200003001|KNA1|DE,DE,Wasserplatz,2,20095,Hamburg,DE
,8200003002,8200003000,British Waterworks Ltd. (Spanien),ES,8200003002|8200003002|KNA1|DE,DE,Calle Marina,25,08002,Barcelona,ES
,8200003003,8200003000,British Waterworks Ltd. (Großbritannien),GB,8200003003|8200003003|KNA1|DE,DE,River Road,9,SW1A1AA,London,GB
