Data-Locale,Order number,Order position,Material ID,Net,Quantity,Base Price,Total Price
,1000000001,1,100102000001,true,2,3200.00,6400.00
,1000000001,2,100201000001,true,1,1950.00,1950.00
,1000000002,1,100102000002,true,1,4600.00,4600.00
,1000000002,2,100103000001,true,1,4800.00,4800.00
,1000000002,3,100201000002,true,2,2450.00,4900.00
,1000000003,1,100101000001,true,1,18500.00,18500.00
,1000000003,2,100103000001,true,2,4800.00,9600.00
,1000000003,3,100201000001,true,2,1950.00,3900.00
,1000000004,1,100101000002,true,1,27900.00,27900.00
,1000000004,2,100102000001,true,3,3200.00,9600.00
,1000000005,1,100103000002,true,2,6300.00,12600.00
,1000000005,2,100201000002,true,3,2450.00,7350.00
,1000000005,3,100202000001,true,1,9800.00,9800.00
,1000000006,1,100201000001,true,4,1950.00,7800.00
,1000000006,2,100201000002,true,4,2450.00,9800.00
,1000000007,1,100102000001,true,2,3200.00,6400.00
,1000000007,2,100103000001,true,1,4800.00,4800.00
,1000000008,1,100102000002,true,2,4600.00,9200.00
,1000000008,2,100103000002,true,1,6300.00,6300.00
,1000000008,3,100202000002,true,1,13500.00,13500.00
,1000000009,1,100101000001,true,1,18500.00,18500.00
,1000000009,2,100101000002,true,1,27900.00,27900.00
,1000000009,3,100202000001,true,1,9800.00,9800.00
,1000000009,4,100201000001,true,2,1950.00,3900.00
,1000000010,1,100103000001,true,3,4800.00,14400.00
,1000000010,2,100103000002,true,2,6300.00,12600.00
,1000000010,3,100201000002,true,3,2450.00,7350.00
