Data-Locale,Material ID,Net,Price,Currency,Unit,Unit Factor,Minimum Qty,ProductGroup,CustomerGroup
,100101000001,true,18500.00,EUR,PCE,1,1,,
,100101000001,true,15910.00,GBP,PCE,1,1,,
,100101000001,true,20350.00,USD,PCE,1,1,,
,100101000002,true,27900.00,EUR,PCE,1,1,,
,100101000002,true,23994.00,GBP,PCE,1,1,,
,100101000002,true,30690.00,USD,PCE,1,1,,
,100102000001,true,3200.00,EUR,PCE,1,1,,
,100102000001,true,2752.00,GBP,PCE,1,1,,
,100102000001,true,3520.00,USD,PCE,1,1,,
,100102000002,true,4600.00,EUR,PCE,1,1,,
,100102000002,true,3956.00,GBP,PCE,1,1,,
,100102000002,true,5060.00,USD,PCE,1,1,,
,100103000001,true,4800.00,EUR,PCE,1,1,,
,100103000001,true,4128.00,GBP,PCE,1,1,,
,100103000001,true,5280.00,USD,PCE,1,1,,
,100103000002,true,6300.00,EUR,PCE,1,1,,
,100103000002,true,5418.00,GBP,PCE,1,1,,
,100103000002,true,6930.00,USD,PCE,1,1,,
,100201000001,true,1950.00,EUR,PCE,1,1,,
,100201000001,true,1677.00,GBP,PCE,1,1,,
,100201000001,true,2145.00,USD,PCE,1,1,,
,100201000002,true,2450.00,EUR,PCE,1,1,,
,100201000002,true,2107.00,GBP,PCE,1,1,,
,100201000002,true,2695.00,USD,PCE,1,1,,
,100202000001,true,9800.00,EUR,PCE,1,1,,
,100202000001,true,8428.00,GBP,PCE,1,1,,
,100202000001,true,10780.00,USD,PCE,1,1,,
,100202000002,true,13500.00,EUR,PCE,1,1,,
,100202000002,true,11610.00,GBP,PCE,1,1,,
,100202000002,true,14850.00,USD,PCE,1,1,,
,V20550000,true,1.209,EUR,PCE,1,1,,
,V10551212,true,0.57,EUR,PCE,1,1,,
,V20551005,true,28.45,EUR,PCE,1,1,,
,V20551008,true,0.57,EUR,PCE,1,1,,
,V20551010,true,19.11,EUR,PCE,1,1,,
,V20551071,true,12.00,EUR,PCE,1,1,,
,V20551073,true,0.57,EUR,PCE,1,1,,
,V20551074,true,0.57,EUR,PCE,1,1,,
,V20551075,true,1.45,EUR,PCE,1,1,,
,V20551076,true,6.09,EUR,PCE,1,1,,
,V20551087,true,12.54,EUR,PCE,1,1,,
,V20551088,true,13.50,EUR,PCE,1,1,,
,V20551089,true,8.33,EUR,PCE,1,1,,
,V20551090,true,0.57,EUR,PCE,1,1,,
,V20551091,true,5.12,EUR,PCE,1,1,,
,V20551092,true,28.34,EUR,PCE,1,1,,
,V20550000,true,1.350,USD,PCE,1,1,,
,V10551212,true,0.76,USD,PCE,1,1,,
,V20551005,true,38.05,USD,PCE,1,1,,
,V20551008,true,0.76,USD,PCE,1,1,,
,V20551010,true,25.56,USD,PCE,1,1,,
,V20551071,true,15.00,USD,PCE,1,1,,
,V20551073,true,0.76,USD,PCE,1,1,,
,V20551074,true,0.76,USD,PCE,1,1,,
,V20551075,true,1.94,USD,PCE,1,1,,
,V20551076,true,8.14,USD,PCE,1,1,,
,V20551087,true,16.77,USD,PCE,1,1,,
,V20551088,true,18.05,USD,PCE,1,1,,
,V20551089,true,11.14,USD,PCE,1,1,,
,V20551090,true,0.76,USD,PCE,1,1,,
,V20551091,true,6.85,USD,PCE,1,1,,
,V20551092,true,37.90,USD,PCE,1,1,,
