Data-Locale,Material ID,Net,Price,Currency,Unit,Unit Factor,Minimum Qty,ProductGroup,CustomerGroup
,V10551212,true,0.51,EUR,PCE,1,1,,CX_PRICE_GROUP
,V20551005,true,26.99,EUR,PCE,1,1,,CX_PRICE_GROUP
,V20551008,true,0.51,EUR,PCE,1,1,,CX_PRICE_GROUP
,V20551010,true,18.99,EUR,PCE,1,1,,CX_PRICE_GROUP
,V20551073,true,0.51,EUR,PCE,1,1,,CX_PRICE_GROUP
,V20551074,true,0.51,EUR,PCE,1,1,,CX_PRICE_GROUP
,V20551075,true,1.39,EUR,PCE,1,1,,CX_PRICE_GROUP
,V20551076,true,5.99,EUR,PCE,1,1,,CX_PRICE_GROUP
,V20551087,true,11.99,EUR,PCE,1,1,,CX_PRICE_GROUP
,V20551088,true,13.00,EUR,PCE,1,1,,CX_PRICE_GROUP
,V20551089,true,8.00,EUR,PCE,1,1,,CX_PRICE_GROUP
,V20551090,true,0.51,EUR,PCE,1,1,,CX_PRICE_GROUP
,V20551091,true,5.01,EUR,PCE,1,1,,CX_PRICE_GROUP
,V20551092,true,25.80,EUR,PCE,1,1,,CX_PRICE_GROUP
,V10551212,true,0.70,USD,PCE,1,1,,CX_PRICE_GROUP
,V20551005,true,38.00,USD,PCE,1,1,,CX_PRICE_GROUP
,V20551008,true,0.70,USD,PCE,1,1,,CX_PRICE_GROUP
,V20551010,true,25.10,USD,PCE,1,1,,CX_PRICE_GROUP
,V20551073,true,0.70,USD,PCE,1,1,,CX_PRICE_GROUP
,V20551074,true,0.70,USD,PCE,1,1,,CX_PRICE_GROUP
,V20551075,true,1.80,USD,PCE,1,1,,CX_PRICE_GROUP
,V20551076,true,7.99,USD,PCE,1,1,,CX_PRICE_GROUP
,V20551087,true,16.50,USD,PCE,1,1,,CX_PRICE_GROUP
,V20551088,true,18.00,USD,PCE,1,1,,CX_PRICE_GROUP
,V20551089,true,11.00,USD,PCE,1,1,,CX_PRICE_GROUP
,V20551090,true,0.71,USD,PCE,1,1,,CX_PRICE_GROUP
,V20551091,true,6.45,USD,PCE,1,1,,CX_PRICE_GROUP
,V20551092,true,37.30,USD,PCE,1,1,,CX_PRICE_GROUP
