Product,ClassificationCategory,Attribute,Value,Unit,Position,Language
100101000001,centrifugal-pumps,maximum_driving_speed,1450,rpm,1,de
100101000001,pumps,maximum_flow_rate,450,m3h,1,de
100101000001,centrifugal-pumps,head,6,m,1,de
100101000001,centrifugal-pumps,maximum_driving_speed,1450,rpm,1,en
100101000001,pumps,maximum_flow_rate,450,m3h,1,en
100101000001,centrifugal-pumps,head,6,m,1,en
100101000001,centrifugal-pumps,maximum_driving_speed,1450,rpm,1,es
100101000001,pumps,maximum_flow_rate,450,m3h,1,es
100101000001,centrifugal-pumps,head,6,m,1,es
100101000001,centrifugal-pumps,maximum_driving_speed,1450,rpm,1,ja
100101000001,pumps,maximum_flow_rate,450,m3h,1,ja
100101000001,centrifugal-pumps,head,6,m,1,ja
100101000001,centrifugal-pumps,maximum_driving_speed,1450,rpm,1,pt
100101000001,pumps,maximum_flow_rate,450,m3h,1,pt
100101000001,centrifugal-pumps,head,6,m,1,pt
100101000001,centrifugal-pumps,maximum_driving_speed,1450,rpm,1,zh
100101000001,pumps,maximum_flow_rate,450,m3h,1,zh
100101000001,centrifugal-pumps,head,6,m,1,zh
100101000002,centrifugal-pumps,maximum_driving_speed,1750,rpm,1,de
100101000002,pumps,maximum_flow_rate,800,m3h,1,de
100101000002,centrifugal-pumps,head,6,m,1,de
100101000002,centrifugal-pumps,maximum_driving_speed,1750,rpm,1,en
100101000002,pumps,maximum_flow_rate,800,m3h,1,en
100101000002,centrifugal-pumps,head,6,m,1,en
100101000002,centrifugal-pumps,maximum_driving_speed,1750,rpm,1,es
100101000002,pumps,maximum_flow_rate,800,m3h,1,es
100101000002,centrifugal-pumps,head,6,m,1,es
100101000002,centrifugal-pumps,maximum_driving_speed,1750,rpm,1,ja
100101000002,pumps,maximum_flow_rate,800,m3h,1,ja
100101000002,centrifugal-pumps,head,6,m,1,ja
100101000002,centrifugal-pumps,maximum_driving_speed,1750,rpm,1,pt
100101000002,pumps,maximum_flow_rate,800,m3h,1,pt
100101000002,centrifugal-pumps,head,6,m,1,pt
100101000002,centrifugal-pumps,maximum_driving_speed,1750,rpm,1,zh
100101000002,pumps,maximum_flow_rate,800,m3h,1,zh
100101000002,centrifugal-pumps,head,6,m,1,zh
100102000001,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,de
100102000001,pumps,maximum_flow_rate,120,m3h,1,de
100102000001,centrifugal-pumps,head,40,m,1,de
100102000001,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,en
100102000001,pumps,maximum_flow_rate,120,m3h,1,en
100102000001,centrifugal-pumps,head,40,m,1,en
100102000001,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,es
100102000001,pumps,maximum_flow_rate,120,m3h,1,es
100102000001,centrifugal-pumps,head,40,m,1,es
100102000001,centrifugal-pumps,maximum_driving_speed,2900,rpm,1,ja
100102000001,pumps,maximum_flow_rate,120,m3h,1,ja
