source,target,type,active
,100201000001001,V20551071,SPAREPART,true
,100201000001001,V20551088,SPAREPART,true
,100201000001001,V20551089,SPAREPART,true
,100201000001001,V20551090,SPAREPART,true
,100101000001,100101000002,SIMILAR,true
,100101000001,100102000001,SIMILAR,true
,100101000001,100102000002,SIMILAR,true
,100101000001,100103000001,SIMILAR,true
,100101000001,100103000002,SIMILAR,true
,100201000002001,V20551071,SPAREPART,true
,100201000002001,V20551088,SPAREPART,true
,100201000002001,V20551089,SPAREPART,true
,100201000002001,V20551090,SPAREPART,true
,100101000002,100101000001,SIMILAR,true
,100101000002,100102000001,SIMILAR,true
,100101000002,100102000002,SIMILAR,true
,100101000002,100103000001,SIMILAR,true
,100101000002,100103000002,SIMILAR,true
