Data-Locale,Code,Name,SAP Code,SAP Type,Conversion
de,KGM,Kilogramm,KGM,SAP-MASS,1
en,KGM,Kilogram,KGM,SAP-MASS,1
es,KGM,Kilogramo,KGM,SAP-MASS,1
ja,KGM,キログラム,KGM,SAP-MASS,1
pt,KGM,Quilograma,KGM,SAP-MASS,1
zh,KGM,千克,KGM,SAP-MASS,1
de,GRM,Gramm,GRM,SAP-MASS,0.001
en,GRM,Gram,GRM,SAP-MASS,0.001
es,GRM,Gramo,GRM,SAP-MASS,0.001
ja,GRM,グラム,GRM,SAP-MASS,0.001
pt,GRM,Grama,GRM,SAP-MASS,0.001
zh,GRM,克,GRM,SAP-MASS,0.001
de,MGM,Milligramm,MGM,SAP-MASS,0.000001
en,MGM,Milligram,MGM,SAP-MASS,0.000001
es,MGM,Miligramo,MGM,SAP-MASS,0.000001
ja,MGM,ミリグラム,MGM,SAP-MASS,0.000001
pt,MGM,Miligrama,MGM,SAP-MASS,0.000001
zh,MGM,毫克,MGM,SAP-MASS,0.000001
de,TNE,Tonne,TNE,SAP-MASS,1000
en,TNE,Tonne,TNE,SAP-MASS,1000
es,TNE,Tonelada,TNE,SAP-MASS,1000
ja,TNE,トン,TNE,SAP-MASS,1000
pt,TNE,Tonelada,TNE,SAP-MASS,1000
zh,TNE,吨,TNE,SAP-MASS,1000
de,MTR,Meter,MTR,SAP-LENG,1
en,MTR,Meter,MTR,SAP-LENG,1
es,MTR,Metro,MTR,SAP-LENG,1
ja,MTR,メートル,MTR,SAP-LENG,1
pt,MTR,Metro,MTR,SAP-LENG,1
zh,MTR,米,MTR,SAP-LENG,1
de,CMT,Zentimeter,CMT,SAP-LENG,0.01
en,CMT,Centimeter,CMT,SAP-LENG,0.01
es,CMT,Centímetro,CMT,SAP-LENG,0.01
ja,CMT,センチメートル,CMT,SAP-LENG,0.01
pt,CMT,Centímetro,CMT,SAP-LENG,0.01
zh,CMT,厘米,CMT,SAP-LENG,0.01
de,MMT,Millimeter,MMT,SAP-LENG,0.001
en,MMT,Millimeter,MMT,SAP-LENG,0.001
es,MMT,Milímetro,MMT,SAP-LENG,0.001
ja,MMT,ミリメートル,MMT,SAP-LENG,0.001
pt,MMT,Milímetro,MMT,SAP-LENG,0.001
zh,MMT,毫米,MMT,SAP-LENG,0.001
de,LTR,Liter,LTR,SAP-VOL,0.001
en,LTR,Litre,LTR,SAP-VOL,0.001
es,LTR,Litro,LTR,SAP-VOL,0.001
ja,LTR,リットル,LTR,SAP-VOL,0.001
pt,LTR,Litro,LTR,SAP-VOL,0.001
zh,LTR,升,LTR,SAP-VOL,0.001
de,MLT,Milliliter,MLT,SAP-VOL,0.000001
en,MLT,Millilitre,MLT,SAP-VOL,0.000001
es,MLT,Mililitro,MLT,SAP-VOL,0.000001
ja,MLT,ミリリットル,MLT,SAP-VOL,0.000001
pt,MLT,Mililitro,MLT,SAP-VOL,0.000001
zh,MLT,毫升,MLT,SAP-VOL,0.000001
de,HUR,Stunde,HUR,SAP-TIME,3600
en,HUR,Hour,HUR,SAP-TIME,3600
es,HUR,Hora,HUR,SAP-TIME,3600
ja,HUR,時間,HUR,SAP-TIME,3600
pt,HUR,Hora,HUR,SAP-TIME,3600
zh,HUR,小时,HUR,SAP-TIME,3600
de,MIN,Minute,MIN,SAP-TIME,60
en,MIN,Minute,MIN,SAP-TIME,60
es,MIN,Minuto,MIN,SAP-TIME,60
ja,MIN,分,MIN,SAP-TIME,60
pt,MIN,Minuto,MIN,SAP-TIME,60
zh,MIN,分钟,MIN,SAP-TIME,60
de,SEC,Sekunde,SEC,SAP-TIME,1
en,SEC,Second,SEC,SAP-TIME,1
es,SEC,Segundo,SEC,SAP-TIME,1
ja,SEC,秒,SEC,SAP-TIME,1
pt,SEC,Segundo,SEC,SAP-TIME,1
zh,SEC,秒,SEC,SAP-TIME,1
de,PCE,Stück,PCE,SAP-AAAADL,1
en,PCE,Piece,PCE,SAP-AAAADL,1
es,PCE,Pieza,PCE,SAP-AAAADL,1
ja,PCE,個,PCE,SAP-AAAADL,1
pt,PCE,Peça,PCE,SAP-AAAADL,1
zh,PCE,件,PCE,SAP-AAAADL,1
