Data-Locale,Isocode,Active,Fallback,Name
de,en,true,,Englisch
en,en,true,,English
es,en,true,,Inglés
ja,en,true,,英語
pt,en,true,,Inglês
zh,en,true,,英语
de,de,true,en,Deutsch
en,de,true,en,German
es,de,true,en,Alemán
ja,de,true,en,ドイツ語
pt,de,true,en,Alemão
zh,de,true,en,德语
de,es,false,en,Spanisch
en,es,false,en,Spanish
es,es,false,en,Español
ja,es,false,en,スペイン語
pt,es,false,en,Espanhol
zh,es,false,en,西班牙语
de,ja,false,en,Japanisch
en,ja,false,en,Japanese
es,ja,false,en,Japonés
ja,ja,false,en,日本語
pt,ja,false,en,Japonês
zh,ja,false,en,日语
de,pt,false,en,Portugiesisch
en,pt,false,en,Portuguese
es,pt,false,en,Portugués
ja,pt,false,en,ポルトガル語
pt,pt,false,en,Português
zh,pt,false,en,葡萄牙语
de,zh,false,en,Chinesisch
en,zh,false,en,Chinese
es,zh,false,en,Chino
ja,zh,false,en,中国語
pt,zh,false,en,Chinês
zh,zh,false,en,中文
