Data-Locale,ID,Name,Parent,Category Image,Media Folder,Media Format
en,products,Product Hierarchy,,producthierarchy.png,category-images,CategoryImage_480x480
de,products,Produkthierarchie,,producthierarchy.png,category-images,CategoryImage_480x480
en,00100,Industrial Robotics,products,00100_industrialrobotics.png,category-images,CategoryImage_480x480
de,00100,Industrierobotik,products,00100_industrialrobotics.png,category-images,CategoryImage_480x480
en,00200,Spare Parts & Modules,products,00200_sparepartsmodules.png,category-images,CategoryImage_480x480
de,00200,Ersatzteile & Module,products,00200_sparepartsmodules.png,category-images,CategoryImage_480x480
en,00100010,Logistics,00100,00100010_logistics.png,category-images,CategoryImage_480x480
de,00100010,Logistik,00100,00100010_logistics.png,category-images,CategoryImage_480x480
en,00100015,Inspection,00100,00100015_inspection.png,category-images,CategoryImage_480x480
de,00100015,Inspektion,00100,00100015_inspection.png,category-images,CategoryImage_480x480
en,00100020,Heavy Duty,00100,00100020_heavyduty.png,category-images,CategoryImage_480x480
de,00100020,Schwerlast,00100,00100020_heavyduty.png,category-images,CategoryImage_480x480
en,00200010,Electronic Components,00200,00200010_electroniccomponents.png,category-images,CategoryImage_480x480
de,00200010,Elektronische Bauteile,00200,00200010_electroniccomponents.png,category-images,CategoryImage_480x480
en,00200020,Mechanical Components,00200,00200020_mechanicalcomponents.png,category-images,CategoryImage_480x480
de,00200020,Mechanische Bauteile,00200,00200020_mechanicalcomponents.png,category-images,CategoryImage_480x480
